category,keywords,solution
Login Issues,"login,password,signin","Please reset your password using the 'Forgot Password' option and try again."
Login Issues,"otp,verification code","Please check your registered email or phone for the OTP and ensure network connectivity."
Login Issues,"account locked,blocked","Your account may be temporarily locked. Please wait 15 minutes or reset your password."
Login Issues,"invalid credentials","Ensure your username and password are correct and Caps Lock is off."
Login Issues,"authentication failed","Try clearing browser cache and logging in again."
Login Issues,"login error 500","The server may be temporarily down. Please try again later."
Login Issues,"session expired","Your session timed out. Please log in again."
Login Issues,"activation link expired","Request a new activation link from the login page."
Login Issues,"email not recognized","Please check if you are using the correct registered email."
Login Issues,"captcha not loading","Refresh the page or try a different browser."
Login Issues,"two factor authentication","Ensure correct OTP is entered before it expires."
Login Issues,"google login failed","Reauthorize Google login permissions and try again."
Login Issues,"login loop","Clear cookies and restart your browser."
Login Issues,"account disabled","Contact support to review your account status."
Login Issues,"security alert,suspicious login","Reset your password immediately for security."
Login Issues,"forgot password","Use the password reset link to create a new password."
Login Issues,"username incorrect","Verify the username entered matches your registered account."
Login Issues,"login page freezing","Refresh the page or restart the application."
Login Issues,"token expired","Log out and log in again to generate a new session token."
Login Issues,"multiple login alert","Log out from other devices and try again."
Login Issues,"verification failed","Ensure correct credentials and retry verification."
Login Issues,"signin problem","Try resetting your password and logging in again."
Login Issues,"account restricted","Please contact support for further verification."
Login Issues,"login service unavailable","The service may be under maintenance. Try later."
Login Issues,"security verification","Complete verification steps carefully."
Payment Issues,"payment failed","Verify payment details and ensure sufficient balance."
Payment Issues,"refund not received","Refunds may take 5-7 business days to reflect."
Payment Issues,"transaction declined","Contact your bank for more details."
Payment Issues,"double payment","The extra charge will be refunded automatically."
Payment Issues,"billing error","Please review your billing details and retry."
Payment Issues,"upi failed","Ensure UPI ID is correct and bank servers are active."
Payment Issues,"invoice not generated","Download invoice from billing history section."
Payment Issues,"subscription not activated","Log out and log in to refresh subscription status."
Payment Issues,"discount code invalid","Check if the promo code has expired."
Payment Issues,"wallet payment error","Verify wallet balance before retrying."
Payment Issues,"authorization failed","Contact your bank for authorization issues."
Payment Issues,"gst invoice","You can download GST invoice from billing page."
Payment Issues,"card declined","Check card validity and balance."
Payment Issues,"refund delayed","Refund processing time is up to 7 days."
Payment Issues,"plan purchase failed","Retry purchase after checking payment method."
Payment Issues,"emi option","EMI options depend on bank eligibility."
Payment Issues,"overcharged","The extra amount will be adjusted in next billing."
Payment Issues,"payment timeout","Please retry payment if amount not deducted."
Payment Issues,"bank verification failed","Ensure OTP from bank is entered correctly."
Payment Issues,"auto debit failed","Update payment method for recurring payments."
Payment Issues,"coupon not applied","Check coupon validity and minimum criteria."
Payment Issues,"recurring payment failed","Update your saved card details."
Payment Issues,"billing portal not opening","Clear browser cache and retry."
Technical Error,"app crashing","Restart the app or reinstall the latest version."
Technical Error,"website not loading","Check your internet connection and refresh."
Technical Error,"error 404","The page may have been removed or URL is incorrect."
Technical Error,"server error 500","The server encountered an issue. Try again later."
Technical Error,"slow performance","Clear cache and close background apps."
